file	start	end	angles
sdk	1	1	correctness,security,perms/authz,design-conformance,api-contract
src-app/server/src/modules/control_mcp/chat_extension/control.rs	16	34	design-conformance,i18n/copy,correctness,tests-quality,maintainability
src-app/server/src/modules/control_mcp/chat_extension/control.rs	39	48	design-conformance,i18n/copy,correctness,tests-quality,maintainability
src-app/server/src/modules/control_mcp/chat_extension/control.rs	132	179	design-conformance,i18n/copy,correctness,tests-quality,maintainability
src-app/server/src/modules/control_mcp/handlers.rs	35	35	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/handlers.rs	204	209	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/handlers.rs	617	637	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/handlers.rs	643	645	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/handlers.rs	649	656	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/handlers.rs	659	1138	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/handlers.rs	1353	1353	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/handlers.rs	1437	1446	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/handlers.rs	1908	2068	correctness,security,error-handling,perf,api-contract,design-conformance,modularity,extensibility,maintainability,state-management,patterns-conformance
src-app/server/src/modules/control_mcp/mod.rs	34	34	patterns-conformance,modularity,design-conformance
src-app/server/src/modules/control_mcp/schema_inline.rs	1	883	correctness,security,error-handling,perf,concurrency,modularity,extensibility,maintainability,design-conformance,wired-and-behaving,dead-code
src-app/server/tests/control_mcp/mod.rs	797	1187	tests-quality,perms/authz,api-contract,design-conformance,correctness
src-app/ui/tests/e2e/control/control-ask-user-for-input.spec.ts	1	104	tests-quality,a11y,design-conformance,correctness
src-app/ui/tests/e2e/control/control-negative-perm.spec.ts	32	34	correctness,perms/authz,tests-quality
src-app/ui/tests/e2e/control/control-negative-perm.spec.ts	36	39	correctness,perms/authz,tests-quality
src-app/ui/tests/e2e/control/control-negative-perm.spec.ts	178	192	correctness,perms/authz,tests-quality
src-app/ui/tests/e2e/control/control-negative-perm.spec.ts	194	194	correctness,perms/authz,tests-quality
src-app/ui/tests/e2e/control/control-negative-perm.spec.ts	203	204	correctness,perms/authz,tests-quality
src-app/ui/tests/e2e/control/control-negative-perm.spec.ts	210	225	correctness,perms/authz,tests-quality
src-app/ui/tests/e2e/control/control-negative-perm.spec.ts	237	241	correctness,perms/authz,tests-quality
src-app/ui/tests/e2e/control/control-negative-perm.spec.ts	298	302	correctness,perms/authz,tests-quality
